StartDate,Site,PrescribedTreatment,Folder,LabelledSite
2023-09-24,7,A,,
2023-09-24,8,W,,
2023-09-24,9,C,,
2023-09-24,10,C,,
2023-09-24,11,C,,
2023-09-24,12,C,,
2023-09-29,1,C,,
2023-09-29,2,W,,
2023-09-29,3,C,,
2023-09-29,4,C,,
2023-09-29,5,C,,
2023-09-29,6,W,,
2023-09-29,7,C,,
2023-09-29,8,C,,
2023-09-29,9,W,,
2023-09-29,10,A,,
2023-09-29,11,A,,
2023-09-29,12,A,,
2023-10-04,1,A,,
2023-10-04,2,C,,
2023-10-04,3,A,,
2023-10-04,4,W,,
2023-10-04,5,W,,
2023-10-04,6,C,,
2023-10-04,7,W,,
2023-10-04,8,A,,
2023-10-04,9,C,,
2023-10-04,10,C,,
2023-10-04,11,C,,
2023-10-04,12,C,,
2023-10-09,1,C,,
2023-10-09,2,A,,
2023-10-09,3,C,,
2023-10-09,4,C,,
2023-10-09,5,C,5,5
2023-10-09,6,A,,
2023-10-09,7,C,,
2023-10-09,8,C,8,8
2023-10-09,9,A,,
2023-10-09,10,W,,
2023-10-09,11,W,,
2023-10-09,12,W,,
2023-10-14,1,W,,
2023-10-14,2,C,,
2023-10-14,3,W,,
2023-10-14,4,A,,
2023-10-14,5,A,5,5
2023-10-14,6,C,,
2023-10-14,7,A,,
2023-10-14,8,W,,
2023-10-14,9,C,,
2023-10-14,10,C,,
2023-10-14,11,C,,
2023-10-14,12,C,,
2023-10-19,1,C,,
2023-10-19,2,W,,
2023-10-19,3,C,,
2023-10-19,4,C,,
2023-10-19,5,C,5,5
2023-10-19,6,W,6,6
2023-10-19,7,C,,
2023-10-19,8,C,,
2023-10-19,9,W,,
2023-10-19,10,A,10,10
2023-10-19,11,A,,
2023-10-19,12,A,4,4
2023-10-24,1,A,,
2023-10-24,2,C,4,11
2023-10-24,3,A,3,3
2023-10-24,4,W,,
2023-10-24,5,W,5,5
2023-10-24,6,C,6,6
2023-10-24,7,W,,
2023-10-24,8,A,,
2023-10-24,9,C,,
2023-10-24,10,C,10,10
2023-10-24,11,C,4,2
2023-10-24,12,C,4,4
2023-10-29,1,C,,
2023-10-29,2,A,,
2023-10-29,3,C,3,3
2023-10-29,4,C,,
2023-10-29,5,C,,
2023-10-29,6,A,6,6
2023-10-29,7,C,,
2023-10-29,8,C,8,8
2023-10-29,9,A,,
2023-10-29,10,W,10,10
2023-10-29,11,W,,
2023-10-29,12,W,2,12
2023-11-03,1,W,,
2023-11-03,2,C,4,4
2023-11-03,3,W,3,3
2023-11-03,4,A,2,2
2023-11-03,5,A,,
2023-11-03,6,C,,
2023-11-03,7,A,,
2023-11-03,8,W,8,8
2023-11-03,9,C,,
2023-11-03,10,C,10,10
2023-11-03,11,C,,
2023-11-03,12,C,2,12
2023-11-08,1,C,,
2023-11-08,2,W,,
2023-11-08,3,C,,
2023-11-08,4,C,,
2023-11-08,5,C,,
2023-11-08,6,W,6,6
2023-11-08,7,C,,
2023-11-08,8,C,8,8
2023-11-08,9,W,,
2023-11-08,10,A,10,10
2023-11-08,11,A,4,2
2023-11-08,12,A,,
2023-11-13,1,A,,
2023-11-13,2,C,,
2023-11-13,3,A,3,3
2023-11-13,4,W,,
2023-11-13,5,W,,
2023-11-13,6,C,6,6
2023-11-13,7,W,7,7
2023-11-13,8,A,8,8
2023-11-13,9,C,,
2023-11-13,10,C,10,10
2023-11-13,11,C,4,2
2023-11-13,12,C,,
2023-11-18,1,C,,
2023-11-18,2,A,4,4
2023-11-18,3,C,3,3
2023-11-18,4,C,2,2
2023-11-18,5,C,,
2023-11-18,6,A,6,6
2023-11-18,7,C,7,7
2023-11-18,8,C,,
2023-11-18,9,A,,
2023-11-18,10,W,10,10
2023-11-18,11,W,,
2023-11-18,12,W,,
2023-11-23,1,W,,
2023-11-23,2,C,4,4
2023-11-23,3,W,3,3
2023-11-23,4,A,2,2
2023-11-23,5,A,5,5
2023-11-23,6,C,6,6
2023-11-23,7,A,,
2023-11-23,8,W,,
2023-11-23,9,C,,
2023-11-23,10,C,10,10
2023-11-23,11,C,,
2023-11-23,12,C,,
2023-11-28,1,C,,
2023-11-28,2,W,4,4
2023-11-28,3,C,3,3
2023-11-28,4,C,2,2
2023-11-28,5,C,5,5
2023-11-28,6,W,6,6
2023-11-28,7,C,7,7
2023-11-28,8,C,,
2023-11-28,9,W,,
2023-11-28,10,A,10,10
2023-11-28,11,A,,
2023-11-28,12,A,,
